,dir,displayName,gsisId,nflId,o,position,possTeam,s,time,x,y,game_id,play_id,event_name
0,65.1,Rodney Hudson,00-0027993,2495171.0,43.35,C,True,1.02,2020-01-26 21:36:55.800,87.17,29.59,2020012600,2435,huddle_start_offense
1,64.98,Rodney Hudson,00-0027993,2495171.0,53.41,C,True,1.02,2020-01-26 21:36:55.900,87.26,29.63,2020012600,2435,
2,65.4,Rodney Hudson,00-0027993,2495171.0,61.43,C,True,1.02,2020-01-26 21:36:56.000,87.35,29.67,2020012600,2435,
3,67.92,Rodney Hudson,00-0027993,2495171.0,67.91,C,True,1.01,2020-01-26 21:36:56.100,87.45,29.71,2020012600,2435,
4,72.8,Rodney Hudson,00-0027993,2495171.0,75.95,C,True,1.02,2020-01-26 21:36:56.200,87.56,29.73,2020012600,2435,
5,73.27,Rodney Hudson,00-0027993,2495171.0,83.32,C,True,1.04,2020-01-26 21:36:56.300,87.66,29.77,2020012600,2435,
6,73.3,Rodney Hudson,00-0027993,2495171.0,87.29,C,True,1.06,2020-01-26 21:36:56.400,87.76,29.8,2020012600,2435,
7,76.25,Rodney Hudson,00-0027993,2495171.0,90.83,C,True,1.09,2020-01-26 21:36:56.500,87.87,29.83,2020012600,2435,
8,75.84,Rodney Hudson,00-0027993,2495171.0,94.28,C,True,1.13,2020-01-26 21:36:56.600,87.99,29.86,2020012600,2435,huddle_break_offense
9,79.2,Rodney Hudson,00-0027993,2495171.0,96.93,C,True,1.13,2020-01-26 21:36:56.700,88.1,29.88,2020012600,2435,
10,80.86,Rodney Hudson,00-0027993,2495171.0,98.55,C,True,1.1,2020-01-26 21:36:56.800,88.21,29.89,2020012600,2435,
11,82.92,Rodney Hudson,00-0027993,2495171.0,98.55,C,True,1.06,2020-01-26 21:36:56.900,88.32,29.91,2020012600,2435,
12,87.47,Rodney Hudson,00-0027993,2495171.0,98.55,C,True,1.05,2020-01-26 21:36:57.000,88.43,29.91,2020012600,2435,
13,90.69,Rodney Hudson,00-0027993,2495171.0,97.12,C,True,1.0,2020-01-26 21:36:57.100,88.53,29.91,2020012600,2435,
14,95.11,Rodney Hudson,00-0027993,2495171.0,97.12,C,True,0.91,2020-01-26 21:36:57.200,88.62,29.9,2020012600,2435,
15,97.19,Rodney Hudson,00-0027993,2495171.0,93.83,C,True,0.85,2020-01-26 21:36:57.300,88.71,29.89,2020012600,2435,
16,94.52,Rodney Hudson,00-0027993,2495171.0,91.86,C,True,0.78,2020-01-26 21:36:57.400,88.79,29.89,2020012600,2435,
17,92.27,Rodney Hudson,00-0027993,2495171.0,91.86,C,True,0.69,2020-01-26 21:36:57.500,88.86,29.89,2020012600,2435,
18,86.83,Rodney Hudson,00-0027993,2495171.0,90.6,C,True,0.64,2020-01-26 21:36:57.600,88.93,29.9,2020012600,2435,
19,78.56,Rodney Hudson,00-0027993,2495171.0,88.61,C,True,0.62,2020-01-26 21:36:57.700,88.99,29.91,2020012600,2435,
20,73.17,Rodney Hudson,00-0027993,2495171.0,87.15,C,True,0.59,2020-01-26 21:36:57.800,89.05,29.93,2020012600,2435,
21,72.99,Rodney Hudson,00-0027993,2495171.0,86.24,C,True,0.52,2020-01-26 21:36:57.900,89.1,29.94,2020012600,2435,
22,67.55,Rodney Hudson,00-0027993,2495171.0,86.24,C,True,0.46,2020-01-26 21:36:58.000,89.15,29.95,2020012600,2435,
23,69.16,Rodney Hudson,00-0027993,2495171.0,86.24,C,True,0.38,2020-01-26 21:36:58.100,89.18,29.96,2020012600,2435,
24,68.88,Rodney Hudson,00-0027993,2495171.0,86.24,C,True,0.31,2020-01-26 21:36:58.200,89.21,29.98,2020012600,2435,
25,69.64,Rodney Hudson,00-0027993,2495171.0,87.75,C,True,0.22,2020-01-26 21:36:58.300,89.24,29.98,2020012600,2435,
26,83.4,Rodney Hudson,00-0027993,2495171.0,87.75,C,True,0.14,2020-01-26 21:36:58.400,89.25,29.98,2020012600,2435,
27,114.02,Rodney Hudson,00-0027993,2495171.0,86.33,C,True,0.1,2020-01-26 21:36:58.500,89.26,29.98,2020012600,2435,
28,134.94,Rodney Hudson,00-0027993,2495171.0,86.33,C,True,0.1,2020-01-26 21:36:58.600,89.27,29.97,2020012600,2435,
29,148.11,Rodney Hudson,00-0027993,2495171.0,85.64,C,True,0.09,2020-01-26 21:36:58.700,89.28,29.96,2020012600,2435,
30,162.58,Rodney Hudson,00-0027993,2495171.0,85.64,C,True,0.09,2020-01-26 21:36:58.800,89.29,29.96,2020012600,2435,
31,163.87,Rodney Hudson,00-0027993,2495171.0,85.64,C,True,0.07,2020-01-26 21:36:58.900,89.29,29.95,2020012600,2435,
32,148.89,Rodney Hudson,00-0027993,2495171.0,85.64,C,True,0.05,2020-01-26 21:36:59.000,89.29,29.95,2020012600,2435,
